Ensembl Gene ID	Associated Gene Name	SGD Gene	UniProt/SwissProt Accession
YNL002C	RLP7	S000004947	P40693
YHR193C	EGD2	S000001236	P38879
YNL294C	RIM21	S000005238	P48565
YOR005C	DNL4	S000005531	Q08387
YPR147C		S000006351	Q06522
YBR092C	PHO3	S000000296	P24031
YJL028W		S000003565	P47062
YOR242C	SSP2	S000005768	Q08646
YLR077W	FMP25	S000004067	Q08023
YCR081W	SRB8	S000000677	P25648
YOR396C-A		S000028719	P0CL37
YOR396C-A		S000028719	P0CL38
YOR396C-A		S000028719	P0CL39
YOR396C-A		S000028719	P0CL40
YLR458W		S000004450	
YBL040C	ERD2	S000000136	P18414
YJR127C	RSF2	S000003888	P46974
YJL176C	SWI3	S000003712	P32591
YLR453C	RIF2	S000004445	Q06208
YCR007C		S000000600	P25354
YHR128W	FUR1	S000001170	P18562
YOR297C	TIM18	S000005823	Q08749
YDR225W	HTA1	S000002633	P04911
YPR020W	ATP20	S000006224	Q12233
YJR003C		S000003763	P47084
YIL101C	XBP1	S000001363	P40489
YHR136C	SPL2	S000001178	P38839
YPR114W		S000006318	Q06107
YPL189W	GUP2	S000006110	Q08929
YJL056C	ZAP1	S000003592	P47043
YPR169W-A		S000028591	P0C5R7
YLR264C-A		S000028808	Q3E732
YPL247C		S000006168	Q12523
YDR482C	CWC21	S000002890	Q03375
YJL122W	ALB1	S000003658	P47019
YBL058W	SHP1	S000000154	P34223
YLL039C	UBI4	S000003962	P0CG63
YKL107W		S000001590	P34251
YCL017C	NFS1	S000000522	P25374
YER085C		S000000887	P40058
YMR186W	HSC82	S000004798	P15108
YCR065W	HCM1	S000000661	P25364
YOR388C	FDH1	S000005915	Q08911
YOR388C	FDH1	S000005915	P0CF35
YOR388C	FDH1	S000005915	P0CF36
YLR002C	NOC3	S000003992	Q07896
YFL045C	SEC53	S000001849	P07283
YPR091C	NVJ2	S000006295	Q06833
YOL083W	ATG34	S000005443	Q12292
YLR307C-A		S000028525	Q3E825
YDR366C		S000002774	P87287
Q0065	AI4	S000007264	P03878
YER190C-A		S000028626	P0CL27
YER190C-A		S000028626	P0CL28
YER190C-A		S000028626	P0CL29
YER190C-A		S000028626	P0CL30
YER190C-A		S000028626	P0CL31
YDR545C-A		S000028617	
YNL020C	ARK1	S000004965	P53974
YGL125W	MET13	S000003093	P53128
YKR038C	KAE1	S000001746	P36132
YDL215C	GDH2	S000002374	P33327
YLR354C	TAL1	S000004346	P15019
YCR022C		S000000616	P25620
YFR008W	FAR7	S000001904	P43592
YDR284C	DPP1	S000002692	Q05521
YFL013C	IES1	S000001881	P43579
YKL051W	SFK1	S000001534	P35735
YPR174C		S000006378	Q06616
YMR091C	NPL6	S000004697	P32832
YJL143W	TIM17	S000003679	P39515
YDR112W	IRC2	S000002519	
YGR057C	LST7	S000003289	P53237
YKL194C	MST1	S000001677	P07236
YLR308W	CDA2	S000004299	Q06703
YBR065C	ECM2	S000000269	P38241
YMR029C	FAR8	S000004631	Q05040
YHL042W		S000001034	P38729
YPR121W	THI22	S000006325	Q06490
YNL068C	FKH2	S000005012	P41813
YLR156C-A		S000028564	P0CY04
YLR156C-A		S000028564	P0CY05
YLR156C-A		S000028564	P0CY03
YLR156C-A		S000028564	P0CY02
YGL157W	ARI1	S000003125	P53111
YGL178W	MPT5	S000003146	P39016
YMR148W	OSW5	S000004756	P40219
YML058W	SML1	S000004523	Q04964
YLR249W	YEF3	S000004239	P16521
YGR019W	UGA1	S000003251	P17649
YJL049W		S000003585	P47048
YBR263W	SHM1	S000000467	P37292
YOR249C	APC5	S000005775	Q08683
YBL097W	BRN1	S000000193	P38170
YCR020W-B	HTL1	S000006439	Q9URQ5
YPR044C	OPI11	S000006248	
YDR286C		S000002694	Q05530
YDR170W-A		S000007227	Q03964
YLR342W-A		S000028571	Q3E810
YGR027W-A		S000007405	Q12085
YBL043W	ECM13	S000000139	P38195
YLR018C	POM34	S000004008	Q12445
YMR076C	PDS5	S000004681	Q04264
YOR251C	TUM1	S000005777	Q08686
YAR070C		S000000093	P39566
YBR124W		S000000328	P38269
YJR135W-A	TIM8	S000007348	P57744
YOR186W		S000005712	Q08560
YDR083W	RRP8	S000002490	P38961
YOR011W-A		S000028581	Q3E807
YOR267C	HRK1	S000005793	Q08732
YLR109W	AHP1	S000004099	P38013
YOR032C	HMS1	S000005558	Q12398
YOR091W	TMA46	S000005617	Q12000
YKR059W	TIF1	S000001767	P10081
YBR205W	KTR3	S000000409	P38130
YLR316C	TAD3	S000004308	Q9URQ3
YDR406W-A		S000028543	P0C5M2
YLR292C	SEC72	S000004283	P39742
YCR044C	PER1	S000000640	P25625
YLR216C	CPR6	S000004206	P53691
YDR046C	BAP3	S000002453	P41815
YGR069W		S000003301	P53245
YJL092W	SRS2	S000003628	P12954
YDR096W	GIS1	S000002503	Q03833
YML018C		S000004480	Q03730
YLR445W	GMC2	S000004437	Q06201
YOR138C	RUP1	S000005664	Q12242
YOR369C	RPS12	S000005896	P48589
YGR246C	BRF1	S000003478	P29056
YJR145C	RPS4A	S000003906	P0CX35
YJR145C	RPS4A	S000003906	P0CX36
YJR138W	IML1	S000003899	P47170
YHR059W	FYV4	S000001101	P38783
YLR138W	NHA1	S000004128	Q99271
YHL009W-B		S000007372	P0C2J7
YHL009W-B		S000007372	P47024
YDR098C-B		S000007391	Q03855
YNL156C	NSG2	S000005100	P53898
YNL106C	INP52	S000005050	P50942
YNL286W	CUS2	S000005230	P53830
YNL093W	YPT53	S000005037	P36019
YIL040W	APQ12	S000001302	P40532
YKL104C	GFA1	S000001587	P14742
YLR186W	EMG1	S000004176	Q06287
YDR425W	SNX41	S000002833	Q04053
YGL134W	PCL10	S000003102	P53124
YJR094W-A	RPL43B	S000003855	P0CX25
YJR094W-A	RPL43B	S000003855	P0CX26
YDR293C	SSD1	S000002701	P24276
YBL113W-A		S000028599	Q8TGK5
YNR015W	SMM1	S000005298	P53720
YKL006W	RPL14A	S000001489	P36105
YLR456W		S000004448	Q06199
YDR448W	ADA2	S000002856	Q02336
YIL166C		S000001428	P40445
YDR097C	MSH6	S000002504	Q03834
YER184C	TOG1	S000000986	P39961
YJL047C-A		S000028804	Q3E737
YJL066C	MPM1	S000003602	P40364
YKL095W	YJU2	S000001578	P28320
YLR368W	MDM30	S000004360	Q05930
YOR194C	TOA1	S000005720	P32773
YGR060W	ERG25	S000003292	P53045
YHR041C	SRB2	S000001083	P34162
